critic,fresh,imdb,publication,quote,review_date,rtid,title,quote_len,qt
Jonathan Rosenbaum,1,113627.0,Chicago Reader,"The plot goes nowhere, but under the pornographic circumstances Figgis, Cage, and Shue all do fine jobs.",2008-02-11,13165.0,Leaving Las Vegas,17,the plot goes nowhere but under the pornographic circumstances figgis cage and shue all do fine jobs
Peter Travers,1,113627.0,Rolling Stone,A uniquely hypnotic and haunting love story sparked by Nicolas Cage and Elisabeth Shue at their career best.,2001-05-12,13165.0,Leaving Las Vegas,18,a uniquely hypnotic and haunting love story sparked by nicolas cage and elisabeth shue at their career best
James Berardinelli,1,113627.0,ReelViews,"Nicolas Cage, who has a track record of immersing himself in parts, gives one of the year's most powerful acting turns.",2000-01-01,13165.0,Leaving Las Vegas,21,nicolas cage who has a track record of immersing himself in parts gives one of the years most powerful acting turns
Mike Clark,1,113627.0,USA Today,"Tough to watch, but haunting enough to deserve its initial praise.",2000-01-01,13165.0,Leaving Las Vegas,11,tough to watch but haunting enough to deserve its initial praise
Janet Maslin,1,114057.0,New York Times,Mr. Branagh's superb performance...guarantees this film an immediacy that any audience will understand.,2003-05-20,13094.0,Othello,13,mr branaghs superb performanceguarantees this film an immediacy that any audience will understand
,1,114057.0,Hollywood Reporter,Davies has done an admirable job of condensing the sprawling action.,2002-10-15,13094.0,Othello,11,davies has done an admirable job of condensing the sprawling action
Kevin Thomas,1,114057.0,Los Angeles Times,Parker has shown how involving and moving Shakespeare can still be on the screen.,2001-02-13,13094.0,Othello,14,parker has shown how involving and moving shakespeare can still be on the screen
Desson Thomson,0,114057.0,Washington Post,"Parker, whose screenplay strips down the original play, merely produces a lackluster essence.",2000-01-01,13094.0,Othello,13,parker whose screenplay strips down the original play merely produces a lackluster essence
James Berardinelli,1,114057.0,ReelViews,"For sheer impact, this Othello can stand side-by-side with the versions brought to the screen by Orson Welles (as restored in 1992) and Lawrence Olivier.",2000-01-01,13094.0,Othello,25,for sheer impact this othello can stand side by side with the versions brought to the screen by orson welles as restored in  and lawrence olivier
Mike Clark,1,114057.0,USA Today,"The movie is roughly on the same cinematic level as the Mel Gibson Hamlet, though it tends to get under your skin a little more once it gets rolling.",2000-01-01,13094.0,Othello,29,the movie is roughly on the same cinematic level as the mel gibson hamlet though it tends to get under your skin a little more once it gets rolling
Roger Ebert,0,114057.0,Chicago Sun-Times,"... Will not give its viewers much of an idea of the Shakespeare play, and may inadvertently give them other ideas, about interracial love, that were not much on Shakespeare's mind.",2000-01-01,13094.0,Othello,31, will not give its viewers much of an idea of the shakespeare play and may inadvertently give them other ideas about interracial love that were not much on shakespeares mind
Rita Kempley,0,114057.0,Washington Post,"Passion, like outpourings of iambic pentameter, isn't part of this picture's equation.",2000-01-01,13094.0,Othello,12,passion like outpourings of iambic pentameter isnt part of this pictures equation
Mick LaSalle,0,114057.0,San Francisco Chronicle,"The real question is, could director Oliver Parker have done worse?",2000-01-01,13094.0,Othello,11,the real question is could director oliver parker have done worse
Caryn James,1,114117.0,New York Times,"The film offers the same pleasures as an Austen novel, as the audience sinks into a comforting, orderly world where life-shattering disruptions are handled with elegant ease.",2003-05-20,10064.0,Persuasion,27,the film offers the same pleasures as an austen novel as the audience sinks into a comforting orderly world where life shattering disruptions are handled with elegant ease
Hal Hinson,1,114117.0,Washington Post,"Michell's approach to Persuasion indicates that he is the rarest of literary translators -- one who is genuinely interested in a work's themes, its characters and what the author has to say about the world in which they exist.",2000-01-01,10064.0,Persuasion,39,michells approach to persuasion indicates that he is the rarest of literary translators    one who is genuinely interested in a works themes its characters and what the author has to say about the world in which they exist
Roger Ebert,1,114117.0,Chicago Sun-Times,"Much of the movie's emotional work has to be done by...faces and eyes, while other people speak of other things, and to see that happening is frustrating, because it happens so slowly, and romantic, because it happens at all.",2000-01-01,10064.0,Persuasion,39,much of the movies emotional work has to be done byfaces and eyes while other people speak of other things and to see that happening is frustrating because it happens so slowly and romantic because it happens at all
Desson Thomson,1,114117.0,Washington Post,"There's a wonderful, unhurried delicacy about Persuasion, Roger Mitchell's adaptation of Jane Austen's final novel.",2000-01-01,10064.0,Persuasion,15,theres a wonderful unhurried delicacy about persuasion roger mitchells adaptation of jane austens final novel
Mike Clark,1,114117.0,USA Today,Vanessa Redgrave has never been more likable on screen than in her buoyantly athletic turn here.,2000-01-01,10064.0,Persuasion,16,vanessa redgrave has never been more likable on screen than in her buoyantly athletic turn here
Jeff Shannon,1,112682.0,Seattle Times,"On visual terms alone, The City of Lost Children is something of a masterpiece, using state-of-the-art physical, optical and digital special effects to stretch cinematic boundaries.",2013-11-20,13050.0,La cité des enfants perdus,26,on visual terms alone the city of lost children is something of a masterpiece using state of the art physical optical and digital special effects to stretch cinematic boundaries
Steven Rea,1,112682.0,Philadelphia Inquirer,"Essentially, The City of Lost Children is a macabre fairy tale, and while its tentacled comic-book plot and freak-show cast narrow its appeal -- this isn't a work of any allegorical depth -- Caro and Jeunet have pulled off a cinematic delight.",2013-11-20,13050.0,La cité des enfants perdus,42,essentially the city of lost children is a macabre fairy tale and while its tentacled comic book plot and freak show cast narrow its appeal    this isnt a work of any allegorical depth    caro and jeunet have pulled off a cinematic delight
Jay Boyar,0,112682.0,Orlando Sentinel,The City of Lost Children gets so caught up in its own weirdness that it all but shuts out the viewer.,2013-11-20,13050.0,La cité des enfants perdus,21,the city of lost children gets so caught up in its own weirdness that it all but shuts out the viewer
Michael Wilmington,1,112682.0,Chicago Tribune,"Set in a wondrously seedy waterfront world populated with runaway children and grotesque, sinister adults, it glistens with dense fantasies, technological feats that make the catch-phrase ""state of the art"" seem antique.",2012-12-07,13050.0,La cité des enfants perdus,32,set in a wondrously seedy waterfront world populated with runaway children and grotesque sinister adults it glistens with dense fantasies technological feats that make the catch phrase state of the art seem antique
Derek Elley,1,112682.0,Variety,"With each frame filled to bursting point with visual detail and multiplaned design, plus razor-sharp cutting that often eliminates transitions, it's not a movie you can afford to take your eyes off for a second.",2009-03-26,13050.0,La cité des enfants perdus,35,with each frame filled to bursting point with visual detail and multiplaned design plus razor sharp cutting that often eliminates transitions its not a movie you can afford to take your eyes off for a second
Stephen Holden,0,112682.0,New York Times,Watching the film is like leafing through a giant sketchbook crammed with intriguing ideas that can't all be comfortably fitted into the same master plan.,2003-05-20,13050.0,La cité des enfants perdus,25,watching the film is like leafing through a giant sketchbook crammed with intriguing ideas that cant all be comfortably fitted into the same master plan
Kevin Thomas,1,112682.0,Los Angeles Times,"The City of Lost Children is a stunningly surreal fantasy, a fable of longing and danger, of heroic deeds and bravery, set in a brilliantly realized world of its own. It is one of the most audacious, original films of the year.",2002-08-15,13050.0,La cité des enfants perdus,42,the city of lost children is a stunningly surreal fantasy a fable of longing and danger of heroic deeds and bravery set in a brilliantly realized world of its own it is one of the most audacious original films of the year
James Berardinelli,1,112682.0,ReelViews,The City of Lost Children is as visually striking and daringly offbeat as its predecessor.,2000-01-01,13050.0,La cité des enfants perdus,15,the city of lost children is as visually striking and daringly offbeat as its predecessor
Mike Clark,0,112682.0,USA Today,"Children hasn't enough of a human dimension to be 'fun' itself, but it's still warped enough to amuse anyone with a tilted frame of mind.",2000-01-01,13050.0,La cité des enfants perdus,25,children hasnt enough of a human dimension to be fun itself but its still warped enough to amuse anyone with a tilted frame of mind
Jeff Millar,1,112682.0,Houston Chronicle,"The City of Lost Children is a series of associated visual stimuli so imaginative and omnivorous that their spectacle has the effect of wearing us out. Nevertheless, if you think of yourself as warped, you really must see this.",2000-01-01,13050.0,La cité des enfants perdus,39,the city of lost children is a series of associated visual stimuli so imaginative and omnivorous that their spectacle has the effect of wearing us out nevertheless if you think of yourself as warped you really must see this
Peter Stack,1,112682.0,San Francisco Chronicle,The French fantasy adventure The City of Lost Children is a dark phantasmagoria so visually amazing and provocative -- yet dense and confusing -- that viewers may need to see it more than once to take it all in.,2000-01-01,13050.0,La cité des enfants perdus,39,the french fantasy adventure the city of lost children is a dark phantasmagoria so visually amazing and provocative    yet dense and confusing    that viewers may need to see it more than once to take it all in
Roger Ebert,1,112682.0,Chicago Sun-Times,"Many people will probably not find themselves sympathetic to this movie's overachieving technological pretensions, while others will find it the best film in months or years.",2000-01-01,13050.0,La cité des enfants perdus,26,many people will probably not find themselves sympathetic to this movies overachieving technological pretensions while others will find it the best film in months or years
Mike Clark,1,115012.0,USA Today,Shanghai Triad concludes the sublime seven-movie collaboration of Chinese filmmaker Zhang Yimou and actress Gong Li with a bang worthy of the most jubilant New Year's Eve.,2000-01-01,14872.0,Yao a yao yao dao waipo qiao,27,shanghai triad concludes the sublime seven movie collaboration of chinese filmmaker zhang yimou and actress gong li with a bang worthy of the most jubilant new years eve
Peter Travers,1,112792.0,Rolling Stone,"Pfeiffer gives a funny, scrappy performance that makes you feel a committed teacher's fire to make a difference.",2001-05-12,13453.0,Dangerous Minds,18,pfeiffer gives a funny scrappy performance that makes you feel a committed teachers fire to make a difference
Kenneth Turan,0,112792.0,Los Angeles Times,"The tale screenwriter Ronald Bass came up with, and the way director John N. Smith tells it, is stereotypical, predictable and simplified to the point of meaninglessness.",2001-02-13,13453.0,Dangerous Minds,27,the tale screenwriter ronald bass came up with and the way director john n smith tells it is stereotypical predictable and simplified to the point of meaninglessness
Kevin McManus,0,112792.0,Washington Post,"If only the filmmakers had used some subtlety in telling the story, they could have done right by the real LouAnne Johnson.",2000-01-01,13453.0,Dangerous Minds,22,if only the filmmakers had used some subtlety in telling the story they could have done right by the real louanne johnson
Edward Guthmann,1,112792.0,San Francisco Chronicle,"What makes it work is the integrity of Pfeiffer's performance and Smith's direction, and the high spirits of the young, racially diverse supporting cast.",2000-01-01,13453.0,Dangerous Minds,24,what makes it work is the integrity of pfeiffers performance and smiths direction and the high spirits of the young racially diverse supporting cast
Roger Ebert,0,112792.0,Chicago Sun-Times,"The movie pretends to show poor black kids being bribed into literacy by Dylan and candy bars, but actually it is the crossover white audience that is being bribed with mind-candy in the form of safe words by the two Dylans.",2000-01-01,13453.0,Dangerous Minds,41,the movie pretends to show poor black kids being bribed into literacy by dylan and candy bars but actually it is the crossover white audience that is being bribed with mind candy in the form of safe words by the two dylans
Susan Stark,1,112792.0,Detroit News,"The movie has real emotional and reportorial credibility, a prime source of its power.",2000-01-01,13453.0,Dangerous Minds,14,the movie has real emotional and reportorial credibility a prime source of its power
Rita Kempley,0,112792.0,Washington Post,"Pfieffer is absurdly miscast: Sly Stallone would make a more plausible Mr. Chips than the frail, squeaky actress does a nine-year veteran of the Marine Corps.",2000-01-01,13453.0,Dangerous Minds,26,pfieffer is absurdly miscast sly stallone would make a more plausible mr chips than the frail squeaky actress does a nine year veteran of the marine corps
Mike Clark,0,114952.0,USA Today,"This 40-minute epic about mountain survival in the wake of a plane crash is like sitting through Alive again, though in this case there isn't anything for the hero to eat.",2000-01-01,770927333.0,Wings of Courage,31,this  minute epic about mountain survival in the wake of a plane crash is like sitting through alive again though in this case there isnt anything for the hero to eat
Carrie Rickey,1,112431.0,Philadelphia Inquirer,"Babe is not, strictly speaking, a kid's movie. It is a preposterously funny fable that strikes a chord with adults, too.",2013-07-30,9898.0,Babe,21,babe is not strictly speaking a kids movie it is a preposterously funny fable that strikes a chord with adults too
Gary Dretzka,1,112431.0,Chicago Tribune,"For children, the movie will play like a storybook come to life. Adults, at first, will marvel at the special effects and puppetry. But ultimately, they'll be won over by the nuances of a story that finds a fresh way to deliver a timeless message.",2013-07-30,9898.0,Babe,45,for children the movie will play like a storybook come to life adults at first will marvel at the special effects and puppetry but ultimately theyll be won over by the nuances of a story that finds a fresh way to deliver a timeless message
Doug Thomas,1,112431.0,Seattle Times,A film that is exceptional in its technical effects and its graceful ability to entertain.,2013-07-30,9898.0,Babe,15,a film that is exceptional in its technical effects and its graceful ability to entertain
Terrence Rafferty,1,112431.0,New Yorker,"[It's] a comedy of animal manners that is much funnier and much cannier than any recent movie about human relationships: a lovely, stubbornly idiosyncratic fable of aspiration and survival.",2013-07-30,9898.0,Babe,29,its a comedy of animal manners that is much funnier and much cannier than any recent movie about human relationships a lovely stubbornly idiosyncratic fable of aspiration and survival
Lisa Schwarzbaum,1,112431.0,Entertainment Weekly,"Australian director Chris Noonan and producer George Miller show what real talent and imagination can do, even without big-name humans as costars.",2008-05-13,9898.0,Babe,22,australian director chris noonan and producer george miller show what real talent and imagination can do even without big name humans as costars
Jonathan Rosenbaum,1,112431.0,Chicago Reader,"The characters (both animal and human) are solidly conceived, and the storytelling and visuals are expertly fashioned.",2008-05-13,9898.0,Babe,17,the characters both animal and human are solidly conceived and the storytelling and visuals are expertly fashioned
Leonard Klady,1,112431.0,Variety,A dazzling family entertainment with enormous charm that utilizes breathtaking technical innovation.,2008-05-13,9898.0,Babe,12,a dazzling family entertainment with enormous charm that utilizes breathtaking technical innovation
Peter Stack,1,112431.0,San Francisco Chronicle,"A lovely, intelligent gem of G-rated entertainment that is also rib-tickling funny.",2002-06-18,9898.0,Babe,12,a lovely intelligent gem of g rated entertainment that is also rib tickling funny
Kenneth Turan,1,112431.0,Los Angeles Times,"If only people would be more like these animals, the world, though hardly saner, would certainly be a lot more fun.",2001-02-13,9898.0,Babe,21,if only people would be more like these animals the world though hardly saner would certainly be a lot more fun
Rita Kempley,1,112431.0,Washington Post,The underlying tricks are never allowed to upstage the story in all its humble sweetness.,2000-01-01,9898.0,Babe,15,the underlying tricks are never allowed to upstage the story in all its humble sweetness
Stephen Holden,1,112431.0,New York Times,"The movie, directed by Chris Noonan, who wrote the screenplay with George Miller, takes a child's-eye view of a world that is photographed to look like a storybook come to life.",2000-01-01,9898.0,Babe,31,the movie directed by chris noonan who wrote the screenplay with george miller takes a childs eye view of a world that is photographed to look like a storybook come to life
Desson Thomson,1,112431.0,Washington Post,"A hilarious fantasy, about a plucky piglet that learns how to tend sheep, Babe is a barnyard charmer.",2000-01-01,9898.0,Babe,18,a hilarious fantasy about a plucky piglet that learns how to tend sheep babe is a barnyard charmer
Roger Ebert,1,112431.0,Chicago Sun-Times,"Babe is a movie made with charm and wit, and unlike some family movies it does not condescend, not for a second.",2000-01-01,9898.0,Babe,22,babe is a movie made with charm and wit and unlike some family movies it does not condescend not for a second
James Berardinelli,1,112431.0,ReelViews,"Through a mixture of imaginative storytelling, impressive animatronics, and irresistible cuteness, Babe casts a spell over all viewers -- young, old, or somewhere in between.",2000-01-01,9898.0,Babe,25,through a mixture of imaginative storytelling impressive animatronics and irresistible cuteness babe casts a spell over all viewers    young old or somewhere in between
Mike Clark,0,112637.0,USA Today,"The leads do physically resemble their real-life prototypes, judging from last year's coffee-table book on Carrington's art and personal circle. But the snail's pacing, vague writing and Thompson herself leave a fatal void.",2000-01-01,15563.0,Carrington,33,the leads do physically resemble their real life prototypes judging from last years coffee table book on carringtons art and personal circle but the snails pacing vague writing and thompson herself leave a fatal void
Emanuel Levy,1,112818.0,Variety,"Tim Robbins's balanced yet uncompromising approach refuses to judge any of the characters, including the killer (superlatively played by Sean Penn), instead giving each a fair chance to present their case with dignity and respect.",2006-06-10,16611.0,Dead Man Walking,35,tim robbinss balanced yet uncompromising approach refuses to judge any of the characters including the killer superlatively played by sean penn instead giving each a fair chance to present their case with dignity and respect
Kenneth Turan,1,112818.0,Los Angeles Times,"Takes us along on the reluctant, difficult, essentially spiritual journey these two unlikely people make together.",2001-02-13,16611.0,Dead Man Walking,16,takes us along on the reluctant difficult essentially spiritual journey these two unlikely people make together
James Berardinelli,1,112818.0,ReelViews,"Dead Man Walking could easily be manipulative or exploitative, but it's neither. Instead, this is hard-hitting drama that neither accepts nor offers quarter.",2000-01-01,16611.0,Dead Man Walking,23,dead man walking could easily be manipulative or exploitative but its neither instead this is hard hitting drama that neither accepts nor offers quarter
Tom Keogh,0,112818.0,Film.com,"Robbins, who also wrote the script, is no Truman Capote, let alone a Victor Hugo, and his film trips up constantly on indecisiveness about what it is he's trying to say.",2000-01-01,16611.0,Dead Man Walking,31,robbins who also wrote the script is no truman capote let alone a victor hugo and his film trips up constantly on indecisiveness about what it is hes trying to say
Susan Stark,1,112818.0,Detroit News,It will send you home with more than a few long thoughts.,2000-01-01,16611.0,Dead Man Walking,12,it will send you home with more than a few long thoughts
Mike Clark,1,112818.0,USA Today,"is the finest, least compromised film about capital punishment ever advancing a gently stated 'anti' view but going the extra 100 miles to give victims their due.",2000-01-01,16611.0,Dead Man Walking,27,is the finest least compromised film about capital punishment ever advancing a gently stated anti view but going the extra  miles to give victims their due
Roger Ebert,1,112818.0,Chicago Sun-Times,"Absorbing, surprising, technically superb and worth talking about for a long time afterward",2000-01-01,16611.0,Dead Man Walking,13,absorbing surprising technically superb and worth talking about for a long time afterward
Bruce Reid,1,112818.0,Film.com,"Robbins and Susan Sarandon, have crafted a film that transcends its own political message by a scrupulous attention to detail.",2000-01-01,16611.0,Dead Man Walking,20,robbins and susan sarandon have crafted a film that transcends its own political message by a scrupulous attention to detail
Jonathan F. Richards,1,112818.0,Film.com,"Don't go unadvised, and don't plan anything too frivolous for right afterwards. But do go.",2000-01-01,16611.0,Dead Man Walking,15,dont go unadvised and dont plan anything too frivolous for right afterwards but do go
Janet Maslin,1,112818.0,New York Times,Penn gives an astonishing performance and delivers exactly what Dead Man Walking needs.,2000-01-01,16611.0,Dead Man Walking,13,penn gives an astonishing performance and delivers exactly what dead man walking needs
Keith Simanton,1,112818.0,Film.com,"Sarandon, who won the Oscar for Best Actress for this role, is superb, but Penn is extraordinary.",2000-01-01,16611.0,Dead Man Walking,17,sarandon who won the oscar for best actress for this role is superb but penn is extraordinary
Mike Clark,0,112286.0,USA Today,"Employing 3-D and PSE sound, then projected on a screen that suggests a small skyscraper, the new show at West Side Manhattan's Sony IMAX theater is, visually speaking, nothing but a clear day... but it definitely put me in scat-mode.",2000-01-01,9990.0,Across the Sea of Time,40,employing  d and pse sound then projected on a screen that suggests a small skyscraper the new show at west side manhattans sony imax theater is visually speaking nothing but a clear day but it definitely put me in scat mode
Stephen Holden,0,113442.0,New York Times,"Under the direction of Andy Tennant, the Olsen sisters lay on the icky-poo cuteness with several trowels, often delivering their lines as though they were reciting the alphabet.",2003-05-20,10778.0,It Takes Two,28,under the direction of andy tennant the olsen sisters lay on the icky poo cuteness with several trowels often delivering their lines as though they were reciting the alphabet
Kevin Thomas,1,113442.0,Los Angeles Times,Writer Deborah Dean Davis and director Andy Tennant are fully aware of the absolute predictability of their material and therefore make the getting to an inevitable ending as much fun as possible.,2001-02-13,10778.0,It Takes Two,32,writer deborah dean davis and director andy tennant are fully aware of the absolute predictability of their material and therefore make the getting to an inevitable ending as much fun as possible
Mike Clark,0,113442.0,USA Today,A rote variation on Mark Twain's The Prince and the Pauper that is marginally salvaged by those spunky Olsen twins from ABC's Full House.,2000-01-01,10778.0,It Takes Two,24,a rote variation on mark twains the prince and the pauper that is marginally salvaged by those spunky olsen twins from abcs full house
Roger Ebert,0,113442.0,Chicago Sun-Times,"It's so featherbrained and lightweight, it almost elevates its inconsequence into a style.",2000-01-01,10778.0,It Takes Two,13,its so featherbrained and lightweight it almost elevates its inconsequence into a style
Hal Hinson,0,113442.0,Washington Post,"With their perilously wide, Walter Keane eyes, the Olsen twins are cute enough, but compared with other child performers their charms seem forced.",2000-01-01,10778.0,It Takes Two,23,with their perilously wide walter keane eyes the olsen twins are cute enough but compared with other child performers their charms seem forced
Janet Maslin,1,114272.0,New York Times,"Since the robust 17th-century picaresque tale is not enjoying any current vogue, the success of ""Restoration"" can be considered a very pleasant surprise.",2003-05-20,13568.0,Restoration,23,since the robust th century picaresque tale is not enjoying any current vogue the success of restoration can be considered a very pleasant surprise
Kevin Thomas,0,114272.0,Los Angeles Times,The film is overcome by the rumbling workings of a creaky plot as the story grows more serious.,2002-08-15,13568.0,Restoration,18,the film is overcome by the rumbling workings of a creaky plot as the story grows more serious
Peter Stack,0,114272.0,San Francisco Chronicle,"The movie takes on a somber, fitful atmosphere of straining epic proportions. But it strays into an episodic bog that leaves it gasping for dramatic life.",2002-06-18,13568.0,Restoration,26,the movie takes on a somber fitful atmosphere of straining epic proportions but it strays into an episodic bog that leaves it gasping for dramatic life
Jeff Millar,1,114272.0,Houston Chronicle,"While this sly and sumptuous new film offers just the single word as its title, it will make you think of all you learned about Restoration comedy -- and drama -- in that long-ago History of the Theater 101 course.",2000-01-01,13568.0,Restoration,40,while this sly and sumptuous new film offers just the single word as its title it will make you think of all you learned about restoration comedy    and drama    in that long ago history of the theater  course
James Berardinelli,1,114272.0,ReelViews,"Solid entertainment, especially in a season when Hollywood's releases are repeatedly causing grimaces.",2000-01-01,13568.0,Restoration,13,solid entertainment especially in a season when hollywoods releases are repeatedly causing grimaces
Roger Ebert,1,114272.0,Chicago Sun-Times,Restoration avoids the pitfalls of pious historical reconstructions and plunges right into the cauldron.,2000-01-01,13568.0,Restoration,14,restoration avoids the pitfalls of pious historical reconstructions and plunges right into the cauldron
Leonard Klady,1,113855.0,Variety,"Where others have sunk in the mire of imitation, director Paul Anderson and writer Kevin Droney effect a viable balance between exquisitely choreographed action and ironic visual and verbal counterpoint.",2008-09-22,10565.0,Mortal Kombat,30,where others have sunk in the mire of imitation director paul anderson and writer kevin droney effect a viable balance between exquisitely choreographed action and ironic visual and verbal counterpoint
Derek Adams,1,113855.0,Time Out,"British director Anderson does a fair job with what he was given: four good-looking leads, some very impressive sfx, Babylonian sets, a bone-crunching soundtrack, and a battery of well-choreographed fights.",2006-06-24,10565.0,Mortal Kombat,30,british director anderson does a fair job with what he was given four good looking leads some very impressive sfx babylonian sets a bone crunching soundtrack and a battery of well choreographed fights
Stephen Holden,1,113855.0,New York Times,The most intriguing is a glassy-eyed follower whose right hand shoots out a hissing reptile that can extend itself for miles. Exotic creatures like these make watching Mortal Kombat feel like being in a high-tech fun house.,2003-05-20,10565.0,Mortal Kombat,37,the most intriguing is a glassy eyed follower whose right hand shoots out a hissing reptile that can extend itself for miles exotic creatures like these make watching mortal kombat feel like being in a high tech fun house
Richard Harrington,0,113855.0,Washington Post,"Likely to satisfy only the core audience already hooked on video and arcade games, and even that's not a sure thing.",2000-01-01,10565.0,Mortal Kombat,21,likely to satisfy only the core audience already hooked on video and arcade games and even thats not a sure thing
Laura Evenson,0,113855.0,San Francisco Chronicle,"The movie has everything a teenage boy could want... Everything, that is, but an interesting plot, decent dialogue and compelling acting.",2000-01-01,10565.0,Mortal Kombat,21,the movie has everything a teenage boy could want everything that is but an interesting plot decent dialogue and compelling acting
Sean Means,0,113855.0,Film.com,"The movie that most nearly approximates a video game: lots of action, no plot, eye-catching computer effects and a dollop of violence.",2000-01-01,10565.0,Mortal Kombat,22,the movie that most nearly approximates a video game lots of action no plot eye catching computer effects and a dollop of violence
John Hartl,0,113855.0,Film.com,"Just looks and plays a lot like Johnny Mnemonic, Double Dragon and other video-game-inspired, mayhem-filled messes.",2000-01-01,10565.0,Mortal Kombat,16,just looks and plays a lot like johnny mnemonic double dragon and other video game inspired mayhem filled messes
Ben Walters,1,337978.0,Time Out,Len Wiseman handles many of the set-pieces with flair and tension.,2011-11-17,494020502.0,Live Free or Die Hard,11,len wiseman handles many of the set pieces with flair and tension
Bob Mondello,1,337978.0,NPR.org,"It's not remotely plausible, but with Willis' McClane leaping onto the tailfins of passing jet fighters and bringing down helicopters by launching police cars at them, there's enough stuff blowing up that action fans won't mind much.",2008-10-18,494020502.0,Live Free or Die Hard,37,its not remotely plausible but with willis mcclane leaping onto the tailfins of passing jet fighters and bringing down helicopters by launching police cars at them theres enough stuff blowing up that action fans wont mind much
Andrea Gronvall,0,337978.0,Chicago Reader,The bad guys' omnipotence at nearly every turn dilutes the film's suspense.,2008-01-04,494020502.0,Live Free or Die Hard,12,the bad guys omnipotence at nearly every turn dilutes the films suspense
Owen Gleiberman,1,337978.0,Entertainment Weekly,"An enjoyable pop projection of post-9/11 anxiety. That said, it also makes you nostalgic for the days when irresponsible action movies didn't have to deal with it.",2007-11-28,494020502.0,Live Free or Die Hard,27,an enjoyable pop projection of post  anxiety that said it also makes you nostalgic for the days when irresponsible action movies didnt have to deal with it
Kyle Smith,1,337978.0,New York Post,"What's the fourth ""Die Hard"" called? I keep forgetting. ""Die Hard: With a Pension""? ""Die Hardened Arteries""? ""Die Laughing""?",2007-07-31,494020502.0,Live Free or Die Hard,19,whats the fourth die hard called i keep forgetting die hard with a pension die hardened arteries die laughing
Jonathan F. Richards,1,337978.0,Film.com,"Movie characters like McClane are the Paul Bunyans and John Henrys and Pecos Bills of our age, the stuff of tall tales spun with the technology of an age whose campfires are found in multiplexes with stadium seating.",2007-07-15,494020502.0,Live Free or Die Hard,38,movie characters like mcclane are the paul bunyans and john henrys and pecos bills of our age the stuff of tall tales spun with the technology of an age whose campfires are found in multiplexes with stadium seating
Andrew Sarris,1,337978.0,New York Observer,Willis should not be the victim of facile stereotyping. He brings more heart and humor to apocalyptic pulp fiction than any other actor I can think of offhand.,2007-07-11,494020502.0,Live Free or Die Hard,28,willis should not be the victim of facile stereotyping he brings more heart and humor to apocalyptic pulp fiction than any other actor i can think of offhand
Rene Rodriguez,1,337978.0,Miami Herald,"Far from the crass, just-for-the-money sequel it appeared to be on paper. It's a genuine blast.",2007-06-30,494020502.0,Live Free or Die Hard,16,far from the crass just for the money sequel it appeared to be on paper its a genuine blast
Joe Morgenstern,1,337978.0,Wall Street Journal,"Terrific entertainment, and startlingly shrewd in the bargain, a combination of minimalist performances -- interestingly minimalist -- and maximalist stunts that make you laugh, as you gape, at their thunderous extravagance.",2007-06-28,494020502.0,Live Free or Die Hard,31,terrific entertainment and startlingly shrewd in the bargain a combination of minimalist performances    interestingly minimalist    and maximalist stunts that make you laugh as you gape at their thunderous extravagance
Rob Nelson,0,337978.0,Village Voice,"The real intrigue has to do with whether McClane -- 'a Timex watch in a digital age,' per the lead baddie (Timothy Olyphant) -- can log in to 2007.",2007-06-27,494020502.0,Live Free or Die Hard,29,the real intrigue has to do with whether mcclane    a timex watch in a digital age per the lead baddie timothy olyphant    can log in to 
Stephanie Zacharek,1,337978.0,Salon.com,"Willis' John McClane, with that sly, sideways smile, is like an old acquaintance you don't mind running into. He may be older and balder, but he's none the worse for the wear. And he can still take a punch.",2007-06-27,494020502.0,Live Free or Die Hard,39,willis john mcclane with that sly sideways smile is like an old acquaintance you dont mind running into he may be older and balder but hes none the worse for the wear and he can still take a punch
James Berardinelli,0,337978.0,ReelViews,"Live Free or Die Hard may work better for an audience that doesn't know much about the series than it will for Die Hard die hards, who will be wondering who that impersonator is and what he did with the real John McClane.",2007-06-27,494020502.0,Live Free or Die Hard,43,live free or die hard may work better for an audience that doesnt know much about the series than it will for die hard die hards who will be wondering who that impersonator is and what he did with the real john mcclane
Rick Groen,0,337978.0,Globe and Mail,"This paradox comes with an attendant fallacy: that the best way to solve the static problem is to make the stunts even larger, the bangs even bigger. Wrong: More action just stops the film longer.",2007-06-27,494020502.0,Live Free or Die Hard,35,this paradox comes with an attendant fallacy that the best way to solve the static problem is to make the stunts even larger the bangs even bigger wrong more action just stops the film longer
Richard Schickel,1,337978.0,TIME Magazine,"It is a movie born to be forgotten-except as something that against your better judgment, you had a pretty good time watching back in the summer of '07.",2007-06-27,494020502.0,Live Free or Die Hard,28,it is a movie born to be forgotten except as something that against your better judgment you had a pretty good time watching back in the summer of 
Rob Salem,1,337978.0,Toronto Star,"Live Free or Die Hard is indeed a worthy successor to the original -- not perhaps quite as good, but close.",2007-06-27,494020502.0,Live Free or Die Hard,21,live free or die hard is indeed a worthy successor to the original    not perhaps quite as good but close
Richard Roeper,1,337978.0,Chicago Sun-Times,"The post-9/11 techno-terrorist stuff works, the fights are creative and funny, and Willis is in top form in his career-defining role.",2007-06-27,494020502.0,Live Free or Die Hard,21,the post  techno terrorist stuff works the fights are creative and funny and willis is in top form in his career defining role
